"species_messy","island_messy","sex_messy","sample_id","file_name","notes"
"adelie","Torgersen	","M","PAL-535","2024-01-14_Torgersen	_adelie_PAL-535.csv","id=PAL-535; island=Torgersen	; sp=adelie; bill=39.1mm"
"adelie","Torgersen	","f?","PAL-442","2024-01-17_Torgersen	_adelie_PAL-442.csv","id=PAL-442; island=Torgersen	; sp=adelie; bill=39.5mm"
"adelie","Torgersen	","f?","PAL-668","2024-01-08_Torgersen	_adelie_PAL-668.csv","id=PAL-668; island=Torgersen	; sp=adelie; bill=40.3mm"
"adelie","Torgersen	",NA,"PAL-920","2024-01-26_Torgersen	_adelie_PAL-920.csv","id=PAL-920; island=Torgersen	; sp=adelie; bill=NAmm"
"adelie","Torgersen	","f?","PAL-223","2024-01-06_Torgersen	_adelie_PAL-223.csv","id=PAL-223; island=Torgersen	; sp=adelie; bill=36.7mm"
"adelie","Torgersen	","M","PAL-899","2024-01-08_Torgersen	_adelie_PAL-899.csv","id=PAL-899; island=Torgersen	; sp=adelie; bill=39.3mm"
"adelie","Torgersen	","f?","PAL-268","2024-01-08_Torgersen	_adelie_PAL-268.csv","id=PAL-268; island=Torgersen	; sp=adelie; bill=38.9mm"
"adelie","Torgersen	","M","PAL-139","2024-01-19_Torgersen	_adelie_PAL-139.csv","id=PAL-139; island=Torgersen	; sp=adelie; bill=39.2mm"
"adelie","Torgersen	",NA,"PAL-847","2024-01-14_Torgersen	_adelie_PAL-847.csv","id=PAL-847; island=Torgersen	; sp=adelie; bill=34.1mm"
"adelie","Torgersen	",NA,"PAL-238","2024-01-24_Torgersen	_adelie_PAL-238.csv","id=PAL-238; island=Torgersen	; sp=adelie; bill=42mm"
"adelie","Torgersen	",NA,"PAL-528","2024-01-16_Torgersen	_adelie_PAL-528.csv","id=PAL-528; island=Torgersen	; sp=adelie; bill=37.8mm"
"adelie","Torgersen	",NA,"PAL-365","2024-01-15_Torgersen	_adelie_PAL-365.csv","id=PAL-365; island=Torgersen	; sp=adelie; bill=37.8mm"
"adelie","Torgersen	","f?","PAL-662","2024-01-21_Torgersen	_adelie_PAL-662.csv","id=PAL-662; island=Torgersen	; sp=adelie; bill=41.1mm"
"adelie","Torgersen	","M","PAL-890","2024-01-27_Torgersen	_adelie_PAL-890.csv","id=PAL-890; island=Torgersen	; sp=adelie; bill=38.6mm"
"adelie","Torgersen	","M","PAL-907","2024-01-16_Torgersen	_adelie_PAL-907.csv","id=PAL-907; island=Torgersen	; sp=adelie; bill=34.6mm"
"adelie","Torgersen	","f?","PAL-490","2024-01-03_Torgersen	_adelie_PAL-490.csv","id=PAL-490; island=Torgersen	; sp=adelie; bill=36.6mm"
"adelie","Torgersen	","f?","PAL-805","2024-01-25_Torgersen	_adelie_PAL-805.csv","id=PAL-805; island=Torgersen	; sp=adelie; bill=38.7mm"
"adelie","Torgersen	","M","PAL-562","2024-01-08_Torgersen	_adelie_PAL-562.csv","id=PAL-562; island=Torgersen	; sp=adelie; bill=42.5mm"
"adelie","Torgersen	","f?","PAL-480","2024-01-28_Torgersen	_adelie_PAL-480.csv","id=PAL-480; island=Torgersen	; sp=adelie; bill=34.4mm"
"adelie","Torgersen	","M","PAL-366","2024-01-16_Torgersen	_adelie_PAL-366.csv","id=PAL-366; island=Torgersen	; sp=adelie; bill=46mm"
"adelie","BIS-COE","f?","PAL-A89","2024-01-13_BIS-COE_adelie_PAL-A89.csv","id=PAL-A89; island=BIS-COE; sp=adelie; bill=37.8mm"
"adelie","BIS-COE","M","PAL-149","2024-01-02_BIS-COE_adelie_PAL-149.csv","id=PAL-149; island=BIS-COE; sp=adelie; bill=37.7mm"
"adelie","BIS-COE","f?","PAL-211","2024-01-24_BIS-COE_adelie_PAL-211.csv","id=PAL-211; island=BIS-COE; sp=adelie; bill=35.9mm"
"adelie","BIS-COE","M","PAL-511","2024-01-13_BIS-COE_adelie_PAL-511.csv","id=PAL-511; island=BIS-COE; sp=adelie; bill=38.2mm"
"adelie","BIS-COE","M","PAL-732","2024-01-07_BIS-COE_adelie_PAL-732.csv","id=PAL-732; island=BIS-COE; sp=adelie; bill=38.8mm"
"adelie","BIS-COE","f?","PAL-623","2024-01-21_BIS-COE_adelie_PAL-623.csv","id=PAL-623; island=BIS-COE; sp=adelie; bill=35.3mm"
"adelie","BIS-COE","M","PAL-460","2024-01-09_BIS-COE_adelie_PAL-460.csv","id=PAL-460; island=BIS-COE; sp=adelie; bill=40.6mm"
"adelie","BIS-COE","f?","PAL-657","2024-01-22_BIS-COE_adelie_PAL-657.csv","id=PAL-657; island=BIS-COE; sp=adelie; bill=40.5mm"
"adelie","BIS-COE","f?","PAL-716","2024-01-23_BIS-COE_adelie_PAL-716.csv","id=PAL-716; island=BIS-COE; sp=adelie; bill=37.9mm"
"adelie","BIS-COE","M","PAL-294","2024-01-27_BIS-COE_adelie_PAL-294.csv","id=PAL-294; island=BIS-COE; sp=adelie; bill=40.5mm"
"adelie","Dream  ","f?","PAL-794","2024-01-07_Dream  _adelie_PAL-794.csv","id=PAL-794; island=Dream  ; sp=adelie; bill=39.5mm"
"adelie","Dream  ","M","PAL-410","2024-01-28_Dream  _adelie_PAL-410.csv","id=PAL-410; island=Dream  ; sp=adelie; bill=37.2mm"
"adelie","Dream  ","f?","PAL-612","2024-01-11_Dream  _adelie_PAL-612.csv","id=PAL-612; island=Dream  ; sp=adelie; bill=39.5mm"
"adelie","Dream  ","M","PAL-212","2024-01-07_Dream  _adelie_PAL-212.csv","id=PAL-212; island=Dream  ; sp=adelie; bill=40.9mm"
"adelie","Dream  ","f?","PAL-693","2024-01-17_Dream  _adelie_PAL-693.csv","id=PAL-693; island=Dream  ; sp=adelie; bill=36.4mm"
"adelie","Dream  ","M","PAL-473","2024-01-24_Dream  _adelie_PAL-473.csv","id=PAL-473; island=Dream  ; sp=adelie; bill=39.2mm"
"adelie","Dream  ","M","PAL-147","2024-01-21_Dream  _adelie_PAL-147.csv","id=PAL-147; island=Dream  ; sp=adelie; bill=38.8mm"
"adelie","Dream  ","f?","PAL-802","2024-01-21_Dream  _adelie_PAL-802.csv","id=PAL-802; island=Dream  ; sp=adelie; bill=42.2mm"
"adelie","Dream  ","f?","PAL-346","2024-01-28_Dream  _adelie_PAL-346.csv","id=PAL-346; island=Dream  ; sp=adelie; bill=37.6mm"
"adelie","Dream  ","M","PAL-497","2024-01-28_Dream  _adelie_PAL-497.csv","id=PAL-497; island=Dream  ; sp=adelie; bill=39.8mm"
"adelie","Dream  ","f?","PAL-613","2024-01-11_Dream  _adelie_PAL-613.csv","id=PAL-613; island=Dream  ; sp=adelie; bill=36.5mm"
"adelie","Dream  ","M","PAL-555","2024-01-27_Dream  _adelie_PAL-555.csv","id=PAL-555; island=Dream  ; sp=adelie; bill=40.8mm"
